TYPE,REGION,RGNAME,AREA,CODE,ACRO,BRNAME,EMAIL
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1303,APL,ANTIPOLO-CIRCUMFERENTIAL,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1304,CNT,CAINTA-VILLAGE EAST,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1305,CNA,CAINTA-RS CITY SQUARE,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1306,FLX,CAINTA-FELIX AVE.-SAN ISIDRO,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1308,MNG,ANTIPOLO-SUMULONG-MASINAG,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1309,PSG,PASIG-ORTIGAS EXT.,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1310,RSE,PASIG-C. RAYMUNDO,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1313,TNY,RIZAL-TANAY,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1314,TYT,RIZAL-TAYTAY,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,6321,BRZ,RIZAL-BINANGONAN,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2203,ALU,AGOO-SAN ANTONIO,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2205,BGO,BAGUIO CITY-CENTER MALL,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2252,BTK,MOUNTAIN PROVINCE-BONTOC,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2258,LGW,IFUGAO-LAGAWE,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2262,SLN,ISABELA-ALICIA,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2276,API,CAGAYAN-APARRI,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2277,BSC,BATANES-BASCO,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2278,CWY,ISABELA-CAUAYAN,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2279,CAI,ISABELA-CAUAYAN-MAHARLIKA HI-WAY,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2280,CIL,ISABELA-CENTRO ILAGAN,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2281,LGN,ISABELA-ILAGAN,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2282,MLP,ISABELA-ROXAS,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2283,SNM,CAGAYAN-SANCHEZ MIRA,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2284,STG,ISABELA-SANTIAGO-MAHARLIKA,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2286,TBK,KALINGA-TABUK,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2287,TUO,CAGAYAN-TUAO,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2288,TGR,CAGAYAN-TUGUEGARAO-BONIFACIO,
BBG,NOL,NORTHERN LUZON 1,NOL 1,2289,TUG,CAGAYAN-ROBINSONS MALL TUGUEGARAO,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2201,ABA,BAGUIO CITY-RIZAL PARK,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2206,LTR,BENGUET-LA TRINIDAD,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2208,MSY,BAGUIO CITY-MAGSAYSAY AVE.,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2209,NRB,BAGUIO CITY-NAGUILIAN ROAD,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2226,BGD,ABRA-BANGUED,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2227,BAN,ABRA-BANGUED-MAGALLANES,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2228,BTC,ILOCOS NORTE-BATAC,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2229,CDN,CANDON CITY-SAN ANTONIO,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2230,CIS,CANDON CITY-NAT'L. HI-WAY,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2231,LOG,LAOAG CITY-J.P. RIZAL,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2232,LAO,LAOAG CITY-CASTRO,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2233,NVC,ILOCOS SUR-NARVACAN,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2234,PSQ,ILOCOS NORTE-PASUQUIN,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2235,VIG,VIGAN CITY-FLORENTINO,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2236,VGN,VIGAN CITY MARKET,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2001,BLG,BULACAN-BALAGTAS,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2002,BLW,BULACAN-BALIUAG,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2003,BOC,BULACAN-BOCAUE,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2004,MLL,MALOLOS CITY-STO. NIÑO,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2005,MLS,MALOLOS CITY-MACARTHUR HI-WAY,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2006,MYC,MEYCAUAYAN CITY-MACARTHUR-SALUYSOY,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2007,MEY,MEYCAUAYAN CITY-ESPERANZA MALL,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2008,PLD,BULACAN-PLARIDEL,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2009,PUL,BULACAN-ROBINSONS PULILAN,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2010,SJD,SAN JOSE DEL MONTE-QUIRINO HI-WAY,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2011,SRA,BULACAN-SAN RAFAEL,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2012,STM,BULACAN-STA. MARIA,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2013,BPR,BULACAN-PULILAN-RIS6,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2014,BSM,BULACAN-SAN MIGUEL,
BBG,NOL,NORTHERN LUZON 3,NOL 3,2285,SIS,SANTIAGO-PANGANIBAN,
BBG,NOL,NORTHERN LUZON 3,NOL 3,6304,GBC,BULACAN-GUIGUINTO,
BBG,NOL,NORTHERN LUZON 3,NOL 3,6319,OBA,BULACAN-OBANDO,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2026,AGL,ANGELES-STO. ROSARIO,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2027,AES,ANGELES-MACARTHUR HIGHWAY,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2028,ALT,PAMPANGA-APALIT,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2029,CPT,TARLAC-CAPAS,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2030,CLF,PAMPANGA-CLARK FIELD,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2031,CPC,TARLAC-CONCEPCION,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2032,DAU,PAMPANGA-MABALACAT-DAU,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2033,DLR,SAN FERNANDO CITY-DOLORES,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2034,EGC,PAMPANGA-MEXICO-L' PLAZA,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2035,CKP,PAMPANGA-MABALACAT-SKYTECH,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2036,MBB,PAMPANGA-MACABEBE,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2037,SGP,SAN FERNANDO CITY-SINDALAN,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2038,SFP,SAN FERNANDO CITY-B. MENDOZA,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2039,SFO,SAN FERNANDO CITY-A. CONSUNJI,
BBG,NOL,NORTHERN LUZON 4,NOL 4,2040,LPS,PAMPANGA-SAN SIMON,
BBG,NOL,NORTHERN LUZON 4,NOL 4,6344,MAR,BULACAN-MARILAO,
BBG,NOL,NORTHERN LUZON 5,NOL 5,2051,BLN,BATAAN-BALANGA,
BBG,NOL,NORTHERN LUZON 5,NOL 5,2052,BEP,BATAAN-MARIVELES-BEPZ,
BBG,NOL,NORTHERN LUZON 5,NOL 5,2053,DPH,BATAAN-DINALUPIHAN,
BBG,NOL,NORTHERN LUZON 5,NOL 5,2054,GGW,PAMPANGA-GUAGUA,
BBG,NOL,NORTHERN LUZON 5,NOL 5,2055,IBA,ZAMBALES-IBA-R. MAGSAYSAY AVE.,
BBG,NOL,NORTHERN LUZON 5,NOL 5,2056,LBO,PAMPANGA-LUBAO,
BBG,NOL,NORTHERN LUZON 5,NOL 5,2057,NZM,ZAMBALES-STA. CRUZ,
BBG,NOL,NORTHERN LUZON 5,NOL 5,2058,OGP,OLONGAPO CITY-RIZAL AVE.,
BBG,NOL,NORTHERN LUZON 5,NOL 5,2059,OLO,OLONGAPO CITY-MAGSAYSAY DRIVE,
BBG,NOL,NORTHERN LUZON 5,NOL 5,2060,ORN,BATAAN-ORANI,
BBG,NOL,NORTHERN LUZON 5,NOL 5,2061,SBC,OLONGAPO CITY-SUBIC BAY,
BBG,NOL,NORTHERN LUZON 5,NOL 5,6322,ORI,BATAAN-ORION,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2077,CLG,PANGASINAN-BAYAMBANG,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2079,DGP,DAGUPAN CITY-A.B. FERNANDEZ,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2080,DAG,DAGUPAN CITY-A.B. FERNANDEZ-NABLE,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2081,PER,DAGUPAN CITY-PEREZ BLVD.,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2082,LGY,PANGASINAN-LINGAYEN,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2083,MDN,PANGASINAN-MANGALDAN,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2085,RSL,PANGASINAN-ROSALES,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2086,SCP,PANGASINAN-SAN CARLOS CITY,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2089,TYG,PANGASINAN-TAYUG,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2090,URD,URDANETA CITY-NANCAYASAN,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2091,LTB,URDANETA CITY-ALEXANDER,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2202,AGO,AGOO-CONSOLACION,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2207,LUN,LA UNION-SAN FERNANDO PLAZA,
BBG,NOL,NORTHERN LUZON 6,NOL 6,2210,SFU,LA UNION-SAN FERNANDO-QUEZON AVE.,
BBG,NOL,NORTHERN LUZON 6,NOL 6,6354,CLS,PANGASINAN-CALASIAO,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2078,CML,TARLAC-CAMILING,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2084,PNQ,TARLAC-PANIQUI,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2087,TRC,TARLAC CITY-F. TAÑEDO,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2088,TAR,TARLAC CITY-ZAMORA,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2251,BMB,NUEVA VIZCAYA-BAYOMBONG,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2253,CAB,CABANATUAN-CENTRAL MARKET,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2254,CBP,CABANATUAN-MAHARLIKA,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2255,GPN,NUEVA ECIJA-GAPAN-SAN VICENTE,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2257,GMB,NUEVA ECIJA-GUIMBA,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2259,MNZ,NUEVA ECIJA-MUÑOZ,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2260,SJE,NUEVA ECIJA-SAN JOSE,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2261,STN,CABANATUAN-DICARMA,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2263,SOL,NUEVA VIZCAYA-SOLANO,
BBG,NOL,NORTHERN LUZON 7,NOL 7,2264,NES,NUEVA ECIJA-STA. ROSA,
BBG,NOL,NORTHERN LUZON 7,NOL 7,6340,BLR,AURORA-BALER,
BBG,NOL,NORTHERN LUZON 8,NOL 8,2256,GPP,NUEVA ECIJA-GAPAN-POBLACION,
BBG,NORTH NMMR,NORTH METRO MANILA 6,NMM-6,1264,SJW,SAN JUAN-WEST CRAME,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1601,BND,BINONDO-SAN FERNANDO,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1602,MCC,BINONDO-QUINTIN PAREDES,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1603,DVI,DIVISORIA-STO. CRISTO-C.M. RECTO,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1605,DIV,DIVISORIA-STO. CRISTO,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1606,ECA,DIVISORIA-ELCANO,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1608,JLA,BINONDO-NUEVA,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1609,JLN,DIVISORIA-JUAN LUNA,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1611,PDC,BINONDO-PLAZA DEL CONDE,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1612,SNI,BINONDO-SAN NICOLAS,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1613,TAO,MANILA-T. ALONZO,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1614,BLT,MANILA-BENAVIDEZ-LA TORRE,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1626,AUB,DIVISORIA-168 MALL,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1632,PAD,MANILA-PADRE RADA,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1633,PTL,MANILA-PRITIL-CAPULONG,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1634,RER,BINONDO-REINA REGENTE,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1636,TDO,MANILA-TONDO-JUAN LUNA,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1638,TTB,MANILA-TUTUBAN MALL,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1656,MSK,BINONDO-MASANGKAY,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,1679,INT,MANILA-INTRAMUROS-CATHEDRAL,
BBG,SMMR,SOUTH METRO MANILA 1,SMM-1,6363,ONG,MANILA-ONGPIN,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1201,BBC,MANILA-G. TUAZON,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1204,DPT,MANILA-DAPITAN,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1205,DPG,MANILA-MACEDA-LAON LAAN,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1607,ESC,MANILA-ESCOLTA,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1627,BMK,MANILA-BAMBANG-MASANGKAY,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1628,BLU,MANILA-BLUMENTRITT-L. RIVERA,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1629,BLM,MANILA-RIZAL AVE.-LAGUNA,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1630,JAS,MANILA-J. ABAD SANTOS-BAMBANG,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1631,NBA,MANILA-NORTH BAY,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1635,RZL,MANILA-RIZAL AVE.-HERRERA,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1637,ABS,MANILA-JOSE ABAD SANTOS,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1651,ARQ,MANILA-ARRANQUE,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1652,PLC,MANILA-QUIAPO-C. PALANCA,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1654,ERW,MANILA-EARNSHAW,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1657,MRT,MANILA-MORAYTA,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1659,QPO,MANILA-FUGOSO ST.,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1660,UER,MANILA-U.E. RECTO,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1503,BSP,MANILA-BSP,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1516,LQB,Q.C.-BSP,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1655,JPL,MANILA-J.P. LAUREL,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1676,RMT,MANILA-ERMITA-ROXAS BLVD.,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1677,ERM,MANILA-ERMITA-U.N. AVE.,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1682,PND,MANILA-PANDACAN,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1683,PGH,MANILA-PGH,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1685,UNA,MANILA-U.N. AVE.,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1701,ADR,MANILA-MALATE-ADRIATICO,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1702,CPS,MANILA-CENTURY PARK HOTEL,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1703,PLZ,MANILA-P. OCAMPO SR.,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1704,LGT,MANILA-LEON GUINTO,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1705,MLT,MANILA-MALATE-TAFT,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1706,PAC,MANILA-PACO-PEDRO GIL,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1707,RMS,MANILA-REMEDIOS,
BBG,SMMR,SOUTH METRO MANILA 3,SMM-3,1708,SDR,MANILA-SAN ANDRES,
BBG,SMMR,SOUTH METRO MANILA 4,SMM-4,1111,MKT,MAKATI-ALLIED BANK CENTER,
BBG,SMMR,SOUTH METRO MANILA 4,SMM-4,1401,AGE,MAKATI-AGUIRRE,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-4,1402,AMO,MAKATI-AMORSOLO,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-4,1403,AYA,MAKATI-AYALA AVE.,
BBG,SMMR,SOUTH METRO MANILA 4,SMM-4,1404,BVD,MAKATI-BENAVIDEZ,
BBG,SMMR,SOUTH METRO MANILA 4,SMM-4,1407,GBE,MAKATI-GREENBELT,
BBG,SMMR,SOUTH METRO MANILA 4,SMM-4,1408,LGV,MAKATI-SALCEDO ST.-LEGASPI VILLAGE,
BBG,SMMR,SOUTH METRO MANILA 4,SMM-4,1409,MPB,MAKATI-C. PALANCA,
BBG,SMMR,SOUTH METRO MANILA 4,SMM-4,1410,MPO,MAKATI-P. OCAMPO,
BBG,SMMR,SOUTH METRO MANILA 4,SMM-4,1413,SLO,MAKATI-SAN LORENZO,
BBG,SMMR,SOUTH METRO MANILA 4,SMM-4,1414,SLA,MAKATI-SAN LORENZO-ARNAIZ,
BBG,SMMR,SOUTH METRO MANILA 4,SMM-4,1415,MAY,MAKATI-AYALA RUFINO,
BBG,SMMR,SOUTH METRO MANILA 4,SMM-4,1438,SCD,MAKATI-LEVISTE ST.-SALCEDO VILLAGE,
BBG,SMMR,SOUTH METRO MANILA 4,SMM-4,1439,SAV,MAKATI-DELA COSTA,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-4,1604,DMK,MAKATI-LEGASPI SOTTO,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1428,BDA,MAKATI-BUENDIA-DIAN,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1431,GPY,MAKATI-ETON YAKAL,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1436,PTK,MAKATI-METROPOLITAN AVENUE,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-5,1493,PQA,PARAÑAQUE-ASEANA CITY,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1504,CRT,PASAY-CARTIMAR,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1506,EDB,MAKATI-BUENDIA-EDISON,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1507,EDX,PASAY-EDSA EXTENSION,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1508,GSS,PASAY-GSIS,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1510,PAS,PASAY-BACLARAN,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1511,PED,MAKATI-BANGKAL,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1513,PSY,PASAY-TAFT,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1514,RXB,PASAY-ROXAS BLVD.,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1515,VAB,PASAY-VILLAMOR AIR BASE,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1518,PCW,PASAY-CORAL WAY,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1519,PDD,PASAY-MACAPAGAL-DD MERIDIAN,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1888,MBR,HEAD OFFICE CENTER,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,6358,PSC,PASAY-GIL PUYAT,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1211,RKW,MAKATI-ROCKWELL CENTER,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-6,1406,DSM,MAKATI-DASMARIÑAS VILLAGE,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-6,1411,PMO,MAKATI-PASONG TAMO,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1412,PMP,MAKATI-BUENDIA-PETRON MEGA PLAZA,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1426,BAM,MAKATI-BEL-AIR,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1429,FBI,BGC-INFINITY,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1432,BGC,BGC-LUXE RESIDENCES,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1433,GLP,MAKATI-GUADALUPE,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1434,MKP,MAKATI-POBLACION,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1440,FBC,BGC-BURGOS CIRCLE,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1441,BGS,BGC-7TH AVENUE,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1444,BGW,BGC-WORLD PLAZA,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1445,BOM,BGC-ONE MCKINLEY PLACE,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1446,BWC,BGC-W CITY CENTER,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1447,BOR,BGC-ORE CENTRAL,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,1448,BGM,BGC-MENARCO,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-6,6347,PAT,PATEROS-ALMEDA,
BBG,SMMR,SOUTH METRO MANILA 6,SMM-6,6348,BGT,BGC-10TH AVENUE,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1442,TMW,TAGUIG-MCKINLEY WEST,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1443,TBY,TAGUIG-BAYANI ROAD,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1476,BRL,PARAÑAQUE-BETTER LIVING,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1477,BFH,PARAÑAQUE-BF HOMES-PRES. AVE.,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1478,BFA,PARAÑAQUE-BF HOMES-AGUIRRE AVENUE,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1482,FTI,TAGUIG-FTI COMPLEX,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1483,MIA,NAIA 1-DEPARTURE AREA,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1485,NAI,NAIA 2-DEPARTURE AREA,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1486,NYP,NAIA 3-ARRIVAL AREA,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1487,NYA,PARAÑAQUE-OYSTER PLAZA,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1490,SCT,PARAÑAQUE-SUCAT-A. SANTOS,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1491,SUT,PARAÑAQUE-SUCAT-EVACOM,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1492,UPQ,PARAÑAQUE-EAST SERVICE ROAD,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1494,PBR,PARAÑAQUE-BETTER LIVING RUSSIA,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,1505,DTC,PASAY-DOMESTIC AIRPORT RD.,
BBG,SMMR,SOUTH METRO MANILA 7,SMM-7,6326,TTC,TAGUIG-BAGONG CALZADA,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1451,ALP,LAS PIÑAS-AGUILAR AVENUE,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1452,ALL,LAS PIÑAS-ONE TOWNSQUARE PLACE,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1453,ABM,MUNTINLUPA-ALABANG-MADRIGAL BUSINESS PARK,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1454,AMZ,LAS PIÑAS-ALMANZA UNO,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1455,ALM,MUNTINLUPA-ALABANG-AYALA SOUTH PARK,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1456,TUN,MUNTINLUPA-BELLEVUE-FILINVEST,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1457,FIA,MUNTINLUPA-FILINVEST AVENUE,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1458,LSP,LAS PIÑAS-CITY HALL,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1459,LAS,LAS PIÑAS-ALMANZA,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1460,MTL,MUNTINLUPA-NATIONAL ROAD,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1461,NLP,LAS PIÑAS-NAGA ROAD,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1462,PMN,LAS PIÑAS-PAMPLONA,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1464,URT,MUNTINLUPA-EAST SERVICE ROAD,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1465,ZPT,LAS PIÑAS-ZAPOTE,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,6331,LPP,LAS PIÑAS-PAMPLONA-RCS ARCADE,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,6369,LLP,LAS PIÑAS CITY-BF RESORT VILLAGE,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,2401,BLY,BATANGAS-BALAYAN,
BBG,SOL,SOUTHERN LUZON 1,SOL 1,2402,BTS,BATANGAS CITY-P. BURGOS,
